"","Country","Year","CO2","GDP","Tourism","Renewable","Urban"
"1","Argentina",1995,3.67414170770385,7666.53000424516,2289000,11.2051846343744,88.164
"2","Argentina",1996,3.83019839147142,7994.24337081722,2614000,10.1938555855904,88.366
"3","Argentina",1997,3.87027000740855,8543.02853403286,2764000,10.9990733955932,88.564
"4","Argentina",1998,3.87692639244616,8772.06320960578,3012000,11.343009140403,88.759
"5","Argentina",1999,4.03058881541224,8381.25399829498,2898000,10.3061733856805,88.952
"6","Argentina",2000,3.8549919479614,8224.11282651363,2909000,11.0779551321774,89.142
"7","Argentina",2001,3.58735031650151,7776.13787206685,2620000,13.0403729383893,89.329
"8","Argentina",2002,3.3096836879838,6854.29408086406,2820000,13.2879781249634,89.51
"9","Argentina",2003,3.5460883239776,7380.4670873289,2995000,12.5181285653079,89.686
"10","Argentina",2004,4.09408291682224,7962.41230916816,3457000,8.34804553441832,89.86
"11","Argentina",2005,4.16812854757591,8577.86499429459,3823000,8.95760175539457,90.031
"12","Argentina",2006,4.46518602068451,9174.50245831661,4173000,10.1878410784258,90.2
"13","Argentina",2007,4.41424641662401,9901.51188115634,4562000,8.88764897855596,90.366
"14","Argentina",2008,4.7182244282458,10201.4759370923,4700000,7.60968712045958,90.53
"15","Argentina",2009,4.44538780283611,9502.24358504659,4308000,8.57406117511144,90.691
"16","Argentina",2010,4.60716374803428,10385.9644319555,6800000,8.96144595214523,90.849
"17","Argentina",2011,4.64437307038597,10883.315359489,6703000,10.1168467244514,90.99
"18","Argentina",2012,4.60917985556416,10649.8372874572,6497000,9.86670170197468,91.121
"19","Argentina",2013,4.49853999490794,10784.6306992057,6510000,10.2103228997482,91.249
"20","Argentina",2014,4.78150777487432,10398.6940069464,7165000,10.9019579336328,91.377
"21","Bolivia",1995,1.29219696108989,1493.41846771504,284000,33.5360108277007,59.15
"22","Bolivia",1996,1.26330154242038,1527.11134094105,313000,33.1372674813617,59.682
"23","Bolivia",1997,1.37856830234566,1570.82497822518,355000,32.7611598603335,60.212
"24","Bolivia",1998,1.35733276553427,1617.36710627811,387000,31.4021360672862,60.739
"25","Bolivia",1999,1.26480955826198,1592.73741489358,342000,31.5448202635514,61.264
"26","Bolivia",2000,1.31464230629973,1601.41665812106,319000,27.3905722364747,61.787
"27","Bolivia",2001,1.0047646713639,1597.64201121273,316000,28.3146063483856,62.306
"28","Bolivia",2002,1.18908454417537,1606.90467715541,334000,27.7358874714358,62.783
"29","Bolivia",2003,1.24555304995395,1620.26366392743,427000,26.0848099858557,63.248
"30","Bolivia",2004,1.22556281872864,1657.50512835135,480000,24.5079764859244,63.711
"31","Bolivia",2005,1.31986970535855,1700.18279095051,524000,23.4790752839669,64.17
"32","Bolivia",2006,1.602553194388,1750.80304828605,521000,22.5540715650338,64.628
"33","Bolivia",2007,1.29018148256216,1799.49854611382,573000,21.529595836372,65.082
"34","Bolivia",2008,1.3617170847077,1878.1103131111,594000,20.5059826128824,65.535
"35","Bolivia",2009,1.41526706560317,1909.08458812934,599000,19.9922207319011,65.984
"36","Bolivia",2010,1.51298659811974,1955.46155736098,679000,20.0699703029615,66.43
"37","Bolivia",2011,1.58091390600604,2024.11732438255,711000,19.2883981714109,66.874
"38","Bolivia",2012,1.81094254628878,2094.02421738306,798000,17.9232292022776,67.315
"39","Bolivia",2013,1.79447716529936,2201.39684777688,798000,18.6352611897866,67.699
"40","Bolivia",2014,1.90636431997446,2286.01319823426,871000,16.8179624969643,68.047
"41","Brazil",1995,1.59454172220923,8540.07687802909,1991000,46.1343566508084,77.61
"42","Brazil",1996,1.7299968214258,8591.01470912416,2666000,44.5328823904229,78.302
"43","Brazil",1997,1.79743463630914,8744.84634619226,2850000,43.7251083730704,79.048
"44","Brazil",1998,1.83931792661612,8641.27530944835,4818000,43.8615767414815,79.781
"45","Brazil",1999,1.85802904995643,8554.07277616112,5107000,44.0972758704006,80.496
"46","Brazil",2000,1.87644130676787,8803.15252917931,5313000,42.7987739937361,81.192
"47","Brazil",2001,1.90429563967604,8804.32948764487,4773000,41.4778788144924,81.553
"48","Brazil",2002,1.85068207469948,8954.83724534174,3785000,43.0245620884508,81.88
"49","Brazil",2003,1.76900557081679,8943.82848255785,4133000,45.3086613817766,82.203
